rotation x;rotation z;real x;real z
342.0109;354.4612;-5.03695;-1.58252
341.9131;354.4966;-5.064336;-1.572414
341.7665;354.5297;-5.105386;-1.562945
341.6277;354.5628;-5.144239;-1.553493
341.5182;354.5994;-5.17489;-1.54303
341.385;354.6375;-5.212197;-1.532139
341.2353;354.69;-5.254127;-1.517133
341.1221;354.727;-5.285812;-1.506583
340.9701;354.766;-5.328382;-1.495431
340.8246;354.8228;-5.369125;-1.479213
340.6901;354.8638;-5.406765;-1.467494
340.5579;354.9054;-5.443799;-1.455601
340.4167;354.9487;-5.483319;-1.44322
340.2711;355.0083;-5.524096;-1.4262
340.1651;355.0391;-5.553763;-1.417411
340.0334;355.1024;-5.590643;-1.399327
339.8772;355.1477;-5.634385;-1.386379
339.7327;355.2121;-5.674837;-1.367981
339.6445;355.2468;-5.699548;-1.358067
339.4698;355.3127;-5.748442;-1.339225
339.3403;355.3649;-5.784716;-1.324315
339.1447;355.4531;-5.839497;-1.299125
338.9962;355.509;-5.881068;-1.283142
338.8712;355.564;-5.916051;-1.267421
338.7221;355.6375;-5.957819;-1.246416
338.5111;355.735;-6.01689;-1.218576
338.3329;355.8156;-6.066783;-1.195539
338.1559;355.8981;-6.116361;-1.17198
337.9684;356.0031;-6.168861;-1.141977
337.7979;356.0889;-6.216601;-1.117449
337.6426;356.1786;-6.260078;-1.091832
337.4917;356.2464;-6.302333;-1.072466
337.3285;356.3396;-6.348014;-1.045829
337.1811;356.4343;-6.389295;-1.018764
337.0246;356.5333;-6.433121;-0.990496
336.8694;356.6319;-6.476564;-0.9623152
336.7487;356.7075;-6.510359;-0.9407262
336.5931;356.7843;-6.553938;-0.9187797
336.4397;356.8928;-6.596876;-0.8877651
336.3189;356.9729;-6.630697;-0.8648944
336.1378;357.0844;-6.681428;-0.8330166
335.9344;357.2567;-6.73838;-0.7838135
335.7357;357.3737;-6.793999;-0.7503837
335.595;357.4937;-6.8334;-0.7160994
335.3885;357.6494;-6.891206;-0.6716135
335.2582;357.7448;-6.927701;-0.6443481
335.0977;357.8758;-6.972639;-0.6069075
334.9092;358.0423;-7;-0.5593436
334.7658;358.1805;-7;-0.5198539
334.6408;358.2861;-7;-0.4896938
334.4177;358.5022;-7;-0.4279436
334.2102;358.69;-7;-0.3742937
334.0348;358.8827;-7;-0.3192313
333.8561;359.0416;-7;-0.2738386
333.6707;359.2458;-7;-0.2154716
333.5285;359.4129;-7;-0.1677333
333.3294;359.6294;-7;-0.1058786
333.1733;359.8064;-7;-0.05530657
333.0129;359.988;-7;-0.003426688
332.8692;0.1750235;-7;0.05000672
332.7339;0.365988;-7;0.104568
332.5035;0.6629492;-7;0.1894141
332.3133;0.9697642;-7;0.2770755
332.1285;1.235616;-7;0.353033
331.9271;1.565032;-7;0.447152
331.6969;1.907288;-7;0.5449394
331.4912;2.263337;-7;0.6466678
331.3012;2.632051;-7;0.7520148
331.0856;3.014977;-7;0.8614222
330.8988;3.412891;-7;0.9751117
330.7336;3.755238;-7;1.072925
330.5391;4.183038;-7;1.195154
330.3649;4.622344;-7;1.32067
330.1643;5.081248;-7;1.451785
330.1072;5.323963;-7;1.521132
330.529;5.771435;-7;1.648982
330.9038;6.286517;-7;1.796148
331.2707;6.690647;-7;1.911614
331.6402;7.077876;-7;2.02225
332.0229;7.439505;-7;2.125573
332.5226;7.925835;-7;2.264524
332.8998;8.250772;-7;2.357363
333.3352;8.554578;-7;2.444165
333.9342;9.015412;-7;2.575832
334.2914;9.286532;-7;2.653295
334.6562;9.541864;-7;2.726247
335.0613;9.785192;-6.982825;2.795769
335.5183;10.05971;-6.854882;2.874203
335.9733;10.26597;-6.727468;2.933136
336.5103;10.54796;-6.577103;3.013704
336.9535;10.77588;-6.453031;3.078822
337.4462;10.98514;-6.315056;3.138611
